index,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,gripper_state
0,0.0,0.172788,0.555015,-0.0,0.382227,0.0,open
1,-0.365891,0.773763,1.343318,0.020325,0.479609,-0.409189,open
2,-0.365642,0.983165,1.342994,0.040075,0.2277,-0.448498,open
3,-0.365642,0.983165,1.342994,0.040075,0.2277,-0.448498,close
4,-0.36554,0.665826,1.343019,0.060976,0.560063,-0.402095,close
5,-0.797053,0.952635,1.311266,-0.021476,0.322615,-0.781371,close
6,-0.797053,0.952635,1.311266,-0.021476,0.322615,-0.781371,open
7,-0.797083,0.494979,1.312905,0.045636,0.726803,-0.773893,open
8,0.095416,0.67847,1.24537,-0.08015,0.462032,0.12291,open
9,0.08815,0.919965,1.185946,-0.062318,0.124796,0.148604,open
10,0.08815,0.919965,1.185946,-0.062318,0.124796,0.148604,close
11,0.088407,0.484805,1.189268,-0.049663,0.560782,0.121184,close
12,-0.853887,0.535244,1.192444,0.085136,0.540249,-1.032753,close
13,-0.832259,0.788203,1.192323,0.200376,0.308314,-1.009359,close
14,-0.832259,0.788203,1.192323,0.200376,0.308314,-1.009359,open
15,-0.835389,0.343708,1.199671,0.054073,0.704992,-0.900063,open
16,0.541854,0.638006,1.395173,-0.136908,0.626056,0.59691,open
17,0.510829,1.092703,1.565285,-0.045636,0.414734,0.548782,open
18,0.510829,1.092703,1.565285,-0.045636,0.414734,0.548782,close
19,0.509895,0.764615,1.567803,-0.107187,0.671037,0.598636,close
20,-0.8347,0.527743,1.176477,0.13384,0.540648,-0.941097,close
21,-0.80273,0.677402,1.223137,0.009779,0.47825,-0.831418,close
22,-0.80273,0.677402,1.223137,0.009779,0.47825,-0.831418,open
23,-0.802594,0.305387,1.23259,0.08782,0.730399,-0.77792,open
24,0.0,0.172788,0.555015,-0.0,0.382227,0.0,open
